names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
EFCAB2,0.021381192,,0.9829415770960344,0.9873449439998132,R_Pre_vs_NR_Pre,0.005531093425693204
ZNF548,0.020806065,-1.9707975,0.9834003599570699,0.9876951655604658,R_Pre_vs_NR_Pre,0.005377071953326239
C11orf49,0.020535417,-1.8387562,0.9836162596829052,0.9878566970601844,R_Pre_vs_NR_Pre,0.005306051555972923
BRAP,0.018505557,-0.032664377,0.9852355447831623,0.9892060451315553,R_Pre_vs_NR_Pre,0.004713238288040267
DDX58,0.016509527,-0.53689283,0.9868279011497543,0.9903059519342261,R_Pre_vs_NR_Pre,0.004230610746629913
NEK9,0.016171217,,0.9870977974340918,0.9905213856775977,R_Pre_vs_NR_Pre,0.004136143465656535
RCAN2,0.015088625,13.3943205,0.9879614753143673,0.9910270700549771,R_Pre_vs_NR_Pre,0.003914482532952383
HINFP,0.014817977,,0.988177397028365,0.9911328095865825,R_Pre_vs_NR_Pre,0.0038681471231699137
AKAP11,0.014784147,,0.9882043873038259,0.9911328095865825,R_Pre_vs_NR_Pre,0.0038681471231699137
PALB2,0.01387071,,0.9889331297429108,0.9917528082589776,R_Pre_vs_NR_Pre,0.003596561098681047
GCNA,0.013498569,-0.8304243,0.9892300274922287,0.9919086205191765,R_Pre_vs_NR_Pre,0.0035283353379995984
TSEN15,0.013363245,0.001293584,0.9893379906821008,0.9919086205191765,R_Pre_vs_NR_Pre,0.0035283353379995984
EIF2B5,0.013329414,-2.5331109,0.989364981510152,0.9919086205191765,R_Pre_vs_NR_Pre,0.0035283353379995984
TMEM94,0.012720455,,0.9898508184664595,0.9922563926894935,R_Pre_vs_NR_Pre,0.0033760944355853396
HAUS2,0.012686625,-0.27620542,0.9898778095204864,0.9922563926894935,R_Pre_vs_NR_Pre,0.0033760944355853396
KCNJ8,0.011231892,,0.9910384353935945,0.9931125001161419,R_Pre_vs_NR_Pre,0.00300155169372864
TANGO6,0.011164229,,0.9910924184728784,0.9931125001161419,R_Pre_vs_NR_Pre,0.00300155169372864
CDPF1,0.011130399,-0.37085733,0.9911194100278278,0.9931125001161419,R_Pre_vs_NR_Pre,0.00300155169372864
LY6E,0.010284624,-0.1885467,0.9917942021244652,0.9936221389393274,R_Pre_vs_NR_Pre,0.00277874052491233
BTN2A2,0.009472679,,0.992442008065495,0.9941045756465741,R_Pre_vs_NR_Pre,0.002567927235136207
ADCK2,0.0080856085,-1.3561649,0.993548687841144,0.995101974455301,R_Pre_vs_NR_Pre,0.0021324120442526018
FANCM,0.007239834,,0.9942234988097859,0.9957222445229156,R_Pre_vs_NR_Pre,0.0018617905862622329
CENPW,0.006901524,-0.65866584,0.9944934243812509,0.9959369722281644,R_Pre_vs_NR_Pre,0.0017681449895875785
TRAF3IP1,0.0063602277,-0.15258217,0.994925306593638,0.9962026318546848,R_Pre_vs_NR_Pre,0.0016523152452164757
POGLUT3,0.005615946,,0.9955191470376266,0.9966859663761202,R_Pre_vs_NR_Pre,0.001441656686705242
BNIPL,0.004262706,-2.7559192,0.9965988630652125,0.997431310321161,R_Pre_vs_NR_Pre,0.001117002985232431
DUSP2,0.004195044,0.11082233,0.9966528490465207,0.997431310321161,R_Pre_vs_NR_Pre,0.001117002985232431
SLC43A3,0.003755241,-5.5779285,0.9970037582874939,0.9976711712686078,R_Pre_vs_NR_Pre,0.0010125769847002155
C16orf87,0.003010959,0.045089476,0.9975976059798892,0.9980983800584111,R_Pre_vs_NR_Pre,0.0008266492830349316
TAF6L,0.0012348315,-3.3769002,0.9990147472815347,0.9991109351117203,R_Pre_vs_NR_Pre,0.0003862877179131482
PRR3,0.0011840849,-1.1593874,0.9990552370999514,0.9991109351117203,R_Pre_vs_NR_Pre,0.0003862877179131482
SLC35A3,0.0,-1.2061532,1.0,1.0,R_Pre_vs_NR_Pre,-0.0
TASP1,-0.001420902,,0.9988662846365074,0.9990333656988943,R_Pre_vs_NR_Pre,0.0004200069722813753
RNF144B,-0.0016238879,2.6764405,0.9987043254323308,0.9989270764807153,R_Pre_vs_NR_Pre,0.0004662149151515004
FAM216A,-0.001725381,-11.707905,0.9986233458498452,0.9989017776085721,R_Pre_vs_NR_Pre,0.00047721401604872165
MYBPHL,-0.001996029,-1.4849529,0.9984074003681436,0.9987414648563328,R_Pre_vs_NR_Pre,0.0005469190988640484
C1orf116,-0.002807973,-1.864776,0.9977595646862603,0.9981490754192257,R_Pre_vs_NR_Pre,0.0008045911805645283
FEZ1,-0.002909466,-2.476778,0.9976785853211185,0.998123729140559,R_Pre_vs_NR_Pre,0.0008156194818439631
PIK3R4,-0.0031462829,,0.9974896335635557,0.9980460200169045,R_Pre_vs_NR_Pre,0.0008494328823606369
ANKRD33B,-0.0031801139,-0.032993235,0.9974626404665781,0.9980460200169045,R_Pre_vs_NR_Pre,0.0008494328823606369
